,movie_id,name/year,genre,year,name,genre_list,genre_length,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7,Genre8,Genre9,Genre10,avg_rating,rating_count
7601,98987,The Adventures of Ford Fairlane (1990),Action|Adventure|Comedy|Crime|Music|Mystery,1990,The Adventures of Ford Fairlane,"['Action', 'Adventure', 'Comedy', 'Crime', 'Music', 'Mystery']",6,Action,Adventure,Comedy,Crime,Music,Mystery,,,,,6.75,4
7602,98994,"After Dark, My Sweet (1990)",Crime|Drama|Mystery|Thriller,1990,"After Dark, My Sweet","['Crime', 'Drama', 'Mystery', 'Thriller']",4,Crime,Drama,Mystery,Thriller,,,,,,,5.333333333333333,3
7603,98999,Agneepath (1990),Action|Crime|Drama,1990,Agneepath,"['Action', 'Crime', 'Drama']",3,Action,Crime,Drama,,,,,,,,9.0,1
7605,99005,Air America (1990),Action|Comedy,1990,Air America,"['Action', 'Comedy']",2,Action,Comedy,,,,,,,,,7.0,7
7606,99012,Alice (1990),Comedy|Romance,1990,Alice,"['Comedy', 'Romance']",2,Comedy,Romance,,,,,,,,,6.2,5
7607,99014,All the Vermeers in New York (1990),Comedy|Drama|Romance,1990,All the Vermeers in New York,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.0,1
7608,99026,The Ambulance (1990),Action|Comedy|Horror|Romance|Thriller,1990,The Ambulance,"['Action', 'Comedy', 'Horror', 'Romance', 'Thriller']",5,Action,Comedy,Horror,Romance,Thriller,,,,,,5.0,1
7609,99040,An Angel at My Table (1990),Biography|Drama,1990,An Angel at My Table,"['Biography', 'Drama']",2,Biography,Drama,,,,,,,,,8.0,4
7610,99043,Anjali (1990),Family|Drama,1990,Anjali,"['Family', 'Drama']",2,Family,Drama,,,,,,,,,8.0,1
7611,99044,Another 48 Hrs. (1990),Action|Comedy|Crime|Drama|Mystery|Thriller,1990,Another 48 Hrs.,"['Action', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",6,Action,Comedy,Crime,Drama,Mystery,Thriller,,,,,6.333333333333333,9
7612,99050,Appuntamento in nero (1990),Thriller,1990,Appuntamento in nero,['Thriller'],1,Thriller,,,,,,,,,,1.0,1
7613,99052,Arachnophobia (1990),Comedy|Fantasy|Horror|Thriller,1990,Arachnophobia,"['Comedy', 'Fantasy', 'Horror', 'Thriller']",4,Comedy,Fantasy,Horror,Thriller,,,,,,,6.884615384615385,26
7614,99055,The Argon Quest (1990),Adventure|Family|Fantasy,1990,The Argon Quest,"['Adventure', 'Family', 'Fantasy']",3,Adventure,Family,Fantasy,,,,,,,,10.0,1
7615,99073,Avalon (1990),Drama,1990,Avalon,['Drama'],1,Drama,,,,,,,,,,10.0,2
7616,99077,Awakenings (1990),Biography|Drama,1990,Awakenings,"['Biography', 'Drama']",2,Biography,Drama,,,,,,,,,8.506787330316742,221
7617,99088,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,1990,Back to the Future Part III,"['Adventure', 'Comedy', 'Sci-Fi', 'Western']",4,Adventure,Comedy,Sci-Fi,Western,,,,,,,7.860294117647059,136
7618,99091,Bad Influence (1990),Drama|Thriller,1990,Bad Influence,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,6.5,4
7619,99108,Basket Case 2 (1990),Comedy|Horror,1990,Basket Case 2,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,6.0,2
7620,99128,Betsy's Wedding (1990),Comedy|Romance,1990,Betsy's Wedding,"['Comedy', 'Romance']",2,Comedy,Romance,,,,,,,,,6.666666666666667,3
7621,99141,Bird on a Wire (1990),Action|Comedy,1990,Bird on a Wire,"['Action', 'Comedy']",2,Action,Comedy,,,,,,,,,6.153846153846154,13
7622,99151,Blood Games (1990),Action|Thriller,1990,Blood Games,"['Action', 'Thriller']",2,Action,Thriller,,,,,,,,,7.0,1
7623,99153,Blood Salvage (1990),Comedy|Horror,1990,Blood Salvage,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,4.0,1
7625,99165,The Bonfire of the Vanities (1990),Comedy|Drama|Romance,1990,The Bonfire of the Vanities,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,5.777777777777778,9
7626,99173,Brain Dead (1990),Horror|Mystery|Sci-Fi|Thriller,1990,Brain Dead,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",4,Horror,Mystery,Sci-Fi,Thriller,,,,,,,5.0,3
7628,99187,Buried Alive (1990),Thriller|Horror,1990,Buried Alive,"['Thriller', 'Horror']",2,Thriller,Horror,,,,,,,,,5.0,1
7629,99204,Cadillac Man (1990),Comedy|Crime,1990,Cadillac Man,"['Comedy', 'Crime']",2,Comedy,Crime,,,,,,,,,6.333333333333333,3
7631,99253,Child's Play 2 (1990),Horror|Thriller,1990,Child's Play 2,"['Horror', 'Thriller']",2,Horror,Thriller,,,,,,,,,6.892857142857143,28
7632,99266,Le château de ma mère (1990),Adventure|Biography|Comedy|Drama|Romance,1990,Le château de ma mère,"['Adventure', 'Biography', 'Comedy', 'Drama', 'Romance']",5,Adventure,Biography,Comedy,Drama,Romance,,,,,,9.0,1
7633,99274,Ciudad de ciegos (1991),Drama,1991,Ciudad de ciegos,['Drama'],1,Drama,,,,,,,,,,7.0,1
7634,99277,Class of 1999 (1990),Action|Horror|Sci-Fi,1990,Class of 1999,"['Action', 'Horror', 'Sci-Fi']",3,Action,Horror,Sci-Fi,,,,,,,,7.0,5
7635,99291,Come See the Paradise (1990),Drama|Romance|War,1990,Come See the Paradise,"['Drama', 'Romance', 'War']",3,Drama,Romance,War,,,,,,,,7.0,1
7636,99292,The Comfort of Strangers (1990),Drama|Thriller,1990,The Comfort of Strangers,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,7.666666666666667,3
7637,99310,Coupe de Ville (1990),Comedy|Drama,1990,Coupe de Ville,"['Comedy', 'Drama']",2,Comedy,Drama,,,,,,,,,9.0,2
7638,99329,Cry-Baby (1990),Comedy|Musical,1990,Cry-Baby,"['Comedy', 'Musical']",2,Comedy,Musical,,,,,,,,,6.647058823529412,17
7639,99334,Cyrano de Bergerac (1990),Comedy|Drama|History|Romance,1990,Cyrano de Bergerac,"['Comedy', 'Drama', 'History', 'Romance']",4,Comedy,Drama,History,Romance,,,,,,,7.4,5
7640,99348,Dances with Wolves (1990),Adventure|Drama|Western,1990,Dances with Wolves,"['Adventure', 'Drama', 'Western']",3,Adventure,Drama,Western,,,,,,,,8.066666666666666,90
7641,99349,Dancin' Thru the Dark (1990),Comedy,1990,Dancin' Thru the Dark,['Comedy'],1,Comedy,,,,,,,,,,8.0,2
7642,99365,Darkman (1990),Action|Crime|Sci-Fi|Thriller,1990,Darkman,"['Action', 'Crime', 'Sci-Fi', 'Thriller']",4,Action,Crime,Sci-Fi,Thriller,,,,,,,5.944444444444445,36
7643,99371,Days of Thunder (1990),Action|Drama|Sport,1990,Days of Thunder,"['Action', 'Drama', 'Sport']",3,Action,Drama,Sport,,,,,,,,6.516129032258065,31
7645,99381,Deadly Manor (1990),Horror,1990,Deadly Manor,['Horror'],1,Horror,,,,,,,,,,8.0,1
7647,99385,Death Warrant (1990),Action|Crime|Mystery|Thriller,1990,Death Warrant,"['Action', 'Crime', 'Mystery', 'Thriller']",4,Action,Crime,Mystery,Thriller,,,,,,,5.857142857142857,7
7648,99395,Def by Temptation (1990),Horror,1990,Def by Temptation,['Horror'],1,Horror,,,,,,,,,,3.0,1
7649,99399,Delta Force 2: The Colombian Connection (1990),Action|Adventure|Crime|Thriller,1990,Delta Force 2: The Colombian Connection,"['Action', 'Adventure', 'Crime', 'Thriller']",4,Action,Adventure,Crime,Thriller,,,,,,,5.5,2
7650,99409,Desperate Hours (1990),Action|Crime|Drama|Thriller,1990,Desperate Hours,"['Action', 'Crime', 'Drama', 'Thriller']",4,Action,Crime,Drama,Thriller,,,,,,,5.0,3
7651,99415,Das deutsche Kettensägen Massaker (1990),Comedy|Horror,1990,Das deutsche Kettensägen Massaker,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,5.0,1
7652,99422,Dick Tracy (1990),Action|Comedy|Crime|Music|Romance|Thriller,1990,Dick Tracy,"['Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']",6,Action,Comedy,Crime,Music,Romance,Thriller,,,,,6.576923076923077,26
7653,99423,Die Hard 2 (1990),Action|Thriller,1990,Die Hard 2,"['Action', 'Thriller']",2,Action,Thriller,,,,,,,,,7.379746835443038,79
7654,99429,Dil (1990),Comedy|Drama|Romance,1990,Dil,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,8.0,1
7655,99460,Downtown (1990),Action|Comedy|Crime|Drama,1990,Downtown,"['Action', 'Comedy', 'Crime', 'Drama']",4,Action,Comedy,Crime,Drama,,,,,,,4.0,1
7656,99472,DuckTales: The Movie - Treasure of the Lost Lamp (1990),Animation|Adventure|Comedy|Family|Fantasy,1990,DuckTales: The Movie - Treasure of the Lost Lamp,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",5,Animation,Adventure,Comedy,Family,Fantasy,,,,,,6.7,10
7657,99487,Edward Scissorhands (1990),Drama|Fantasy|Romance,1990,Edward Scissorhands,"['Drama', 'Fantasy', 'Romance']",3,Drama,Fantasy,Romance,,,,,,,,8.094488188976378,127
7659,99512,Ernest Goes to Jail (1990),Comedy|Crime|Family,1990,Ernest Goes to Jail,"['Comedy', 'Crime', 'Family']",3,Comedy,Crime,Family,,,,,,,,5.5,2
7660,99523,Evil Spirits (1990),Horror,1990,Evil Spirits,['Horror'],1,Horror,,,,,,,,,,10.0,1
7661,99528,The Exorcist III (1990),Drama|Horror|Mystery,1990,The Exorcist III,"['Drama', 'Horror', 'Mystery']",3,Drama,Horror,Mystery,,,,,,,,6.277777777777778,18
7662,99545,Fantozzi alla riscossa (1990),Comedy,1990,Fantozzi alla riscossa,['Comedy'],1,Comedy,,,,,,,,,,6.0,1
7663,99558,Fei ying gai wak (1991),Action|Adventure|Comedy|Crime|Thriller,1991,Fei ying gai wak,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",5,Action,Adventure,Comedy,Crime,Thriller,,,,,,6.2,5
7664,99566,The Field (1990),Drama|Thriller,1990,The Field,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,8.0,1
7665,99572,The Final Alliance (1990),Action|Drama,1990,The Final Alliance,"['Action', 'Drama']",2,Action,Drama,,,,,,,,,9.0,1
7666,99575,Fire Birds (1990),Action|Adventure,1990,Fire Birds,"['Action', 'Adventure']",2,Action,Adventure,,,,,,,,,4.333333333333333,3
7667,99578,The First Power (1990),Crime|Horror|Thriller,1990,The First Power,"['Crime', 'Horror', 'Thriller']",3,Crime,Horror,Thriller,,,,,,,,5.666666666666667,3
7668,99581,Flashback (1990),Action|Adventure|Comedy|Crime|Drama,1990,Flashback,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",5,Action,Adventure,Comedy,Crime,Drama,,,,,,8.0,2
7669,99582,Flatliners (1990),Drama|Horror|Sci-Fi|Thriller,1990,Flatliners,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",4,Drama,Horror,Sci-Fi,Thriller,,,,,,,6.862068965517241,29
7670,99587,Flight of the Intruder (1991),Action|Drama|Thriller|War,1991,Flight of the Intruder,"['Action', 'Drama', 'Thriller', 'War']",4,Action,Drama,Thriller,War,,,,,,,6.0,2
7671,99611,Frankenhooker (1990),Comedy|Horror,1990,Frankenhooker,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,7.090909090909091,11
7672,99612,Roger Corman's Frankenstein Unbound (1990),Drama|Horror|Sci-Fi,1990,Roger Corman's Frankenstein Unbound,"['Drama', 'Horror', 'Sci-Fi']",3,Drama,Horror,Sci-Fi,,,,,,,,6.0,1
7673,99615,The Freshman (1990),Comedy|Crime,1990,The Freshman,"['Comedy', 'Crime']",2,Comedy,Crime,,,,,,,,,7.25,4
7674,99629,Ga li la jiao (1990),Crime|Action|Romance,1990,Ga li la jiao,"['Crime', 'Action', 'Romance']",3,Crime,Action,Romance,,,,,,,,4.0,1
7675,99636,The Gate II: Trespassers (1990),Fantasy|Horror|Comedy,1990,The Gate II: Trespassers,"['Fantasy', 'Horror', 'Comedy']",3,Fantasy,Horror,Comedy,,,,,,,,5.666666666666667,3
7676,99637,Un gatto nel cervello (1990),Comedy|Horror,1990,Un gatto nel cervello,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,7.0,2
7677,99653,Ghost (1990),Drama|Fantasy|Romance|Thriller,1990,Ghost,"['Drama', 'Fantasy', 'Romance', 'Thriller']",4,Drama,Fantasy,Romance,Thriller,,,,,,,7.630769230769231,65
7678,99654,Ghost Dad (1990),Comedy|Family|Fantasy,1990,Ghost Dad,"['Comedy', 'Family', 'Fantasy']",3,Comedy,Family,Fantasy,,,,,,,,2.0,1
7679,99674,The Godfather: Part III (1990),Crime|Drama,1990,The Godfather: Part III,"['Crime', 'Drama']",2,Crime,Drama,,,,,,,,,8.154639175257731,194
7680,99685,Goodfellas (1990),Biography|Crime|Drama,1990,Goodfellas,"['Biography', 'Crime', 'Drama']",3,Biography,Crime,Drama,,,,,,,,8.76336898395722,748
7681,99691,Graffiti Bridge (1990),Drama|Music|Musical,1990,Graffiti Bridge,"['Drama', 'Music', 'Musical']",3,Drama,Music,Musical,,,,,,,,5.0,2
7682,99696,Cavallette (1990),Animation|Short|Comedy,1990,Cavallette,"['Animation', 'Short', 'Comedy']",3,Animation,Short,Comedy,,,,,,,,10.0,1
7683,99697,Graveyard Shift (1990),Horror,1990,Graveyard Shift,['Horror'],1,Horror,,,,,,,,,,5.125,8
7684,99699,Green Card (1990),Comedy|Drama|Romance,1990,Green Card,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.0,2
7685,99700,Gremlins 2: The New Batch (1990),Comedy|Fantasy|Horror,1990,Gremlins 2: The New Batch,"['Comedy', 'Fantasy', 'Horror']",3,Comedy,Fantasy,Horror,,,,,,,,6.9,30
7686,99703,The Grifters (1990),Crime|Drama|Thriller,1990,The Grifters,"['Crime', 'Drama', 'Thriller']",3,Crime,Drama,Thriller,,,,,,,,6.333333333333333,9
7687,99710,The Guardian (1990),Drama|Horror|Mystery|Thriller,1990,The Guardian,"['Drama', 'Horror', 'Mystery', 'Thriller']",4,Drama,Horror,Mystery,Thriller,,,,,,,8.0,1
7688,99726,Hamlet (1990),Drama,1990,Hamlet,['Drama'],1,Drama,,,,,,,,,,6.0,1
7689,99729,Hamoun (1990),Drama,1990,Hamoun,['Drama'],1,Drama,,,,,,,,,,8.666666666666666,3
7690,99731,The Handmaid's Tale (1990),Drama|Romance|Sci-Fi|Thriller,1990,The Handmaid's Tale,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",4,Drama,Romance,Sci-Fi,Thriller,,,,,,,7.0,2
7691,99739,Hard to Kill (1990),Action|Crime|Drama|Thriller,1990,Hard to Kill,"['Action', 'Crime', 'Drama', 'Thriller']",4,Action,Crime,Drama,Thriller,,,,,,,6.333333333333333,9
7692,99740,Hardware (1990),Sci-Fi|Thriller,1990,Hardware,"['Sci-Fi', 'Thriller']",2,Sci-Fi,Thriller,,,,,,,,,6.125,8
7693,99747,Havana (1990),Drama|Romance|War,1990,Havana,"['Drama', 'Romance', 'War']",3,Drama,Romance,War,,,,,,,,6.75,4
7694,99750,Heart Condition (1990),Comedy|Crime|Drama|Fantasy,1990,Heart Condition,"['Comedy', 'Crime', 'Drama', 'Fantasy']",4,Comedy,Crime,Drama,Fantasy,,,,,,,6.0,1
7695,99757,Hei tai yang 731 xu ji zhi sha ren gong chang (1992),Action|Drama|Horror,1992,Hei tai yang 731 xu ji zhi sha ren gong chang,"['Action', 'Drama', 'Horror']",3,Action,Drama,Horror,,,,,,,,5.0,1
7696,99762,Henry &amp; June (1990),Biography|Drama,1990,Henry &amp; June,"['Biography', 'Drama']",2,Biography,Drama,,,,,,,,,8.0,3
7698,99768,Hidden Agenda (1990),Drama|Thriller,1990,Hidden Agenda,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,5.0,2
7699,99776,Europa Europa (1990),Drama|History|War,1990,Europa Europa,"['Drama', 'History', 'War']",3,Drama,History,War,,,,,,,,7.166666666666667,6
7700,99785,Home Alone (1990),Comedy|Family,1990,Home Alone,"['Comedy', 'Family']",2,Comedy,Family,,,,,,,,,8.375,176
7701,99797,The Hot Spot (1990),Crime|Drama|Romance|Thriller,1990,The Hot Spot,"['Crime', 'Drama', 'Romance', 'Thriller']",4,Crime,Drama,Romance,Thriller,,,,,,,6.5,2
7702,99800,House Party (1990),Comedy|Music|Romance,1990,House Party,"['Comedy', 'Music', 'Romance']",3,Comedy,Music,Romance,,,,,,,,7.0,4
7703,99809,Huang jia nu jiang (1990),Action|Crime,1990,Huang jia nu jiang,"['Action', 'Crime']",2,Action,Crime,,,,,,,,,4.0,1
7704,99810,The Hunt for Red October (1990),Action|Adventure|Thriller,1990,The Hunt for Red October,"['Action', 'Adventure', 'Thriller']",3,Action,Adventure,Thriller,,,,,,,,7.813559322033898,59
7705,99812,Huo shao dao (1990),Action|Crime|Drama,1990,Huo shao dao,"['Action', 'Crime', 'Drama']",3,Action,Crime,Drama,,,,,,,,3.0,1
7706,99817,Dark Angel (1990),Action|Crime|Horror|Sci-Fi|Thriller,1990,Dark Angel,"['Action', 'Crime', 'Horror', 'Sci-Fi', 'Thriller']",5,Action,Crime,Horror,Sci-Fi,Thriller,,,,,,6.0,6
7707,99818,I Hired a Contract Killer (1990),Comedy|Drama|Romance,1990,I Hired a Contract Killer,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.7272727272727275,11
7708,99819,I Love You to Death (1990),Comedy|Crime,1990,I Love You to Death,"['Comedy', 'Crime']",2,Comedy,Crime,,,,,,,,,7.75,4
7709,99832,Impulse (1990),Crime|Drama|Thriller,1990,Impulse,"['Crime', 'Drama', 'Thriller']",3,Crime,Drama,Thriller,,,,,,,,10.0,1
7711,99850,Internal Affairs (1990),Crime|Drama|Thriller,1990,Internal Affairs,"['Crime', 'Drama', 'Thriller']",3,Crime,Drama,Thriller,,,,,,,,6.9,10
7712,99857,Iron & Silk (1990),Comedy|Drama,1990,Iron & Silk,"['Comedy', 'Drama']",2,Comedy,Drama,,,,,,,,,6.0,1
7714,99871,Jacob's Ladder (1990),Drama|Horror|Mystery,1990,Jacob's Ladder,"['Drama', 'Horror', 'Mystery']",3,Drama,Horror,Mystery,,,,,,,,7.672727272727273,55
7715,99878,Jetsons: The Movie (1990),Animation|Comedy|Family|Musical|Sci-Fi,1990,Jetsons: The Movie,"['Animation', 'Comedy', 'Family', 'Musical', 'Sci-Fi']",5,Animation,Comedy,Family,Musical,Sci-Fi,,,,,,6.0,2
7716,99892,Joe Versus the Volcano (1990),Comedy|Romance,1990,Joe Versus the Volcano,"['Comedy', 'Romance']",2,Comedy,Romance,,,,,,,,,7.833333333333333,18
7717,99935,Killer Tomatoes Strike Back! (1991),Action|Comedy|Horror|Sci-Fi,1991,Killer Tomatoes Strike Back!,"['Action', 'Comedy', 'Horror', 'Sci-Fi']",4,Action,Comedy,Horror,Sci-Fi,,,,,,,8.0,1
7718,99938,Kindergarten Cop (1990),Comedy|Crime,1990,Kindergarten Cop,"['Comedy', 'Crime']",2,Comedy,Crime,,,,,,,,,7.291666666666667,24
7719,99939,King of New York (1990),Crime|Thriller,1990,King of New York,"['Crime', 'Thriller']",2,Crime,Thriller,,,,,,,,,7.260869565217392,23
7720,99943,Kishen Kanhaiya (1990),Action|Comedy|Drama,1990,Kishen Kanhaiya,"['Action', 'Comedy', 'Drama']",3,Action,Comedy,Drama,,,,,,,,4.0,1
7721,99951,The Krays (1990),Biography|Crime|Drama,1990,The Krays,"['Biography', 'Crime', 'Drama']",3,Biography,Crime,Drama,,,,,,,,7.5,10
7722,99959,Kurt Olsson - filmen om mitt liv som mej själv (1990),Comedy,1990,Kurt Olsson - filmen om mitt liv som mej själv,['Comedy'],1,Comedy,,,,,,,,,,7.0,1
7724,99991,The Last of the Finest (1990),Action|Crime|Drama,1990,The Last of the Finest,"['Action', 'Crime', 'Drama']",3,Action,Crime,Drama,,,,,,,,4.0,1
7725,99994,Leatherface: Texas Chainsaw Massacre III (1990),Horror|Thriller,1990,Leatherface: Texas Chainsaw Massacre III,"['Horror', 'Thriller']",2,Horror,Thriller,,,,,,,,,5.571428571428571,7
7726,100024,Life Is Sweet (1990),Comedy|Drama,1990,Life Is Sweet,"['Comedy', 'Drama']",2,Comedy,Drama,,,,,,,,,7.928571428571429,14
7727,100029,Lionheart (1990),Action|Crime|Drama|Sport,1990,Lionheart,"['Action', 'Crime', 'Drama', 'Sport']",4,Action,Crime,Drama,Sport,,,,,,,7.333333333333333,15
7729,100046,The Long Walk Home (1990),Drama|History,1990,The Long Walk Home,"['Drama', 'History']",2,Drama,History,,,,,,,,,8.6,5
7730,100047,Long de chuan ren (1991),Comedy,1991,Long de chuan ren,['Comedy'],1,Comedy,,,,,,,,,,7.0,1
7731,100050,Look Who's Talking Too (1990),Comedy|Family|Romance,1990,Look Who's Talking Too,"['Comedy', 'Family', 'Romance']",3,Comedy,Family,Romance,,,,,,,,4.833333333333333,6
7732,100054,Lord of the Flies (1990),Adventure|Drama|Thriller,1990,Lord of the Flies,"['Adventure', 'Drama', 'Thriller']",3,Adventure,Drama,Thriller,,,,,,,,6.7,20
7733,100079,Luther the Geek (1990),Comedy|Horror,1990,Luther the Geek,"['Comedy', 'Horror']",2,Comedy,Horror,,,,,,,,,9.0,1
7735,100107,Maniac Cop 2 (1990),Crime|Horror|Action|Thriller,1990,Maniac Cop 2,"['Crime', 'Horror', 'Action', 'Thriller']",4,Crime,Horror,Action,Thriller,,,,,,,5.333333333333333,3
7736,100112,Le mari de la coiffeuse (1990),Comedy|Drama|Romance,1990,Le mari de la coiffeuse,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.666666666666667,27
7737,100114,Marked for Death (1990),Action|Adventure|Crime|Drama|Thriller,1990,Marked for Death,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",5,Action,Adventure,Crime,Drama,Thriller,,,,,,6.2,10
7738,100133,Memphis Belle (1990),Action|Drama|War,1990,Memphis Belle,"['Action', 'Drama', 'War']",3,Action,Drama,War,,,,,,,,8.0,12
7739,100135,Men at Work (1990),Action|Comedy|Crime,1990,Men at Work,"['Action', 'Comedy', 'Crime']",3,Action,Comedy,Crime,,,,,,,,6.6,5
7740,100140,Mermaids (1990),Comedy|Drama|Romance,1990,Mermaids,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,7.416666666666667,12
7741,100142,Metropolitan (1990),Comedy|Drama|Romance,1990,Metropolitan,"['Comedy', 'Drama', 'Romance']",3,Comedy,Drama,Romance,,,,,,,,8.666666666666666,3
7742,100143,Miami Blues (1990),Comedy|Crime|Drama|Thriller,1990,Miami Blues,"['Comedy', 'Crime', 'Drama', 'Thriller']",4,Comedy,Crime,Drama,Thriller,,,,,,,7.333333333333333,6
7743,100150,Miller's Crossing (1990),Crime|Drama|Thriller,1990,Miller's Crossing,"['Crime', 'Drama', 'Thriller']",3,Crime,Drama,Thriller,,,,,,,,7.885416666666667,96
7744,100152,Mindwarp (1992),Horror|Sci-Fi|Thriller,1992,Mindwarp,"['Horror', 'Sci-Fi', 'Thriller']",3,Horror,Sci-Fi,Thriller,,,,,,,,6.0,1
7745,100156,Mirror Mirror (1990),Horror|Thriller,1990,Mirror Mirror,"['Horror', 'Thriller']",2,Horror,Thriller,,,,,,,,,5.0,1
7746,100157,Misery (1990),Drama|Thriller,1990,Misery,"['Drama', 'Thriller']",2,Drama,Thriller,,,,,,,,,8.049261083743842,203
7747,100161,Mister Frost (1990),Drama|Horror|Thriller,1990,Mister Frost,"['Drama', 'Horror', 'Thriller']",3,Drama,Horror,Thriller,,,,,,,,10.0,1
7748,100168,Mo' Better Blues (1990),Drama|Music|Romance,1990,Mo' Better Blues,"['Drama', 'Music', 'Romance']",3,Drama,Music,Romance,,,,,,,,7.5,2
