,movie_id,name/year,genre,year,name,genre_list,genre_length,avg_rating,rating_count
14766,448115,Shazam! (2019),Action|Adventure|Comedy|Fantasy,2019,Shazam!,"['Action', 'Adventure', 'Comedy', 'Fantasy']",4,7.404160475482913,673
14778,448694,Puss in Boots (2011),Animation|Action|Adventure|Comedy|Family|Fantasy,2011,Puss in Boots,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6,6.52,50
14825,451279,Wonder Woman (2017),Action|Adventure|Fantasy|Sci-Fi|War,2017,Wonder Woman,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']",5,7.540783034257749,1226
14866,453562,42 (2013),Biography|Drama|Sport,2013,42,"['Biography', 'Drama', 'Sport']",3,8.041994750656167,381
14884,454876,Life of Pi (2012),Adventure|Drama|Fantasy,2012,Life of Pi,"['Adventure', 'Drama', 'Fantasy']",3,8.148535564853557,956
14899,455407,The Crazies (2010),Horror|Thriller,2010,The Crazies,"['Horror', 'Thriller']",2,6.811594202898551,69
14913,455944,The Equalizer (2014),Action|Crime|Thriller,2014,The Equalizer,"['Action', 'Crime', 'Thriller']",3,7.432258064516129,1085
14966,458339,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi,2011,Captain America: The First Avenger,"['Action', 'Adventure', 'Sci-Fi']",3,6.937751004016064,498
14970,458413,A Long Way Down (2014),Comedy|Drama,2014,A Long Way Down,"['Comedy', 'Drama']",2,6.322314049586777,121
14975,458481,Sin City: A Dame to Kill For (2014),Crime|Thriller,2014,Sin City: A Dame to Kill For,"['Crime', 'Thriller']",2,6.688311688311688,385
15028,462335,High-Rise (2015),Drama|Horror|Sci-Fi,2015,High-Rise,"['Drama', 'Horror', 'Sci-Fi']",3,5.829787234042553,94
15130,469021,Alan Partridge: Alpha Papa (2013),Action|Comedy|Crime,2013,Alan Partridge: Alpha Papa,"['Action', 'Comedy', 'Crime']",3,7.470833333333333,240
15152,470752,Ex Machina (2014),Drama|Mystery|Sci-Fi|Thriller,2014,Ex Machina,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",4,7.647058823529412,1088
15163,471042,Tower Heist (2011),Action|Comedy|Crime,2011,Tower Heist,"['Action', 'Comedy', 'Crime']",3,6.396039603960396,101
15181,472399,The Mechanic (2011),Action|Crime|Thriller,2011,The Mechanic,"['Action', 'Crime', 'Thriller']",3,6.72289156626506,83
15188,473075,Prince of Persia: The Sands of Time (2010),Action|Adventure|Fantasy,2010,Prince of Persia: The Sands of Time,"['Action', 'Adventure', 'Fantasy']",3,6.712328767123288,73
15220,475290,"Hail, Caesar! (2016)",Comedy|Drama|Music|Mystery,2016,"Hail, Caesar!","['Comedy', 'Drama', 'Music', 'Mystery']",4,6.322683706070287,313
15259,477080,Unstoppable (2010),Action|Thriller,2010,Unstoppable,"['Action', 'Thriller']",2,7.153846153846154,130
15264,477302,Extremely Loud &amp; Incredibly Close (2011),Adventure|Drama|Mystery,2011,Extremely Loud &amp; Incredibly Close,"['Adventure', 'Drama', 'Mystery']",3,7.682758620689655,145
15286,478304,The Tree of Life (2011),Drama|Fantasy,2011,The Tree of Life,"['Drama', 'Fantasy']",2,7.057553956834532,139
15297,478970,Ant-Man (2015),Action|Adventure|Comedy|Sci-Fi,2015,Ant-Man,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",4,7.58972503617945,1382
15348,481499,The Croods (2013),Animation|Action|Adventure|Comedy|Family|Fantasy,2013,The Croods,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6,7.584873949579832,595
15490,490215,Silence (2016),Adventure|Drama|History,2016,Silence,"['Adventure', 'Drama', 'History']",3,7.466453674121405,313
15503,491175,Suburbicon (2017),Comedy|Crime|Drama|Mystery|Thriller,2017,Suburbicon,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",5,5.963855421686747,83
15536,493405,CHIPS (2017),Action|Comedy|Crime,2017,CHIPS,"['Action', 'Comedy', 'Crime']",3,6.298076923076923,104
15598,498381,Rings (2017),Drama|Horror|Mystery|Romance|Thriller,2017,Rings,"['Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",5,4.533898305084746,118
15637,758752,Love &amp; Other Drugs (2010),Comedy|Drama|Romance,2010,Love &amp; Other Drugs,"['Comedy', 'Drama', 'Romance']",3,7.0,136
15682,765446,Escape from Planet Earth (2013),Animation|Adventure|Comedy|Family|Sci-Fi,2013,Escape from Planet Earth,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",5,6.125,56
15697,770802,Samsara (2011),Documentary|Music,2011,Samsara,"['Documentary', 'Music']",2,8.91304347826087,69
15700,770828,Man of Steel (2013),Action|Adventure|Sci-Fi,2013,Man of Steel,"['Action', 'Adventure', 'Sci-Fi']",3,7.664317507418398,2696
15712,775440,Cell (2016),Action|Drama|Horror|Sci-Fi|Thriller,2016,Cell,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']",5,3.6818181818181817,66
15730,780504,Drive (2011),Crime|Drama,2011,Drive,"['Crime', 'Drama']",2,7.773123909249564,573
15761,783640,The Last Full Measure (2019),Drama|War,2019,The Last Full Measure,"['Drama', 'War']",2,6.946859903381642,207
15774,787474,The Boxtrolls (2014),Animation|Adventure|Comedy|Family|Fantasy,2014,The Boxtrolls,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",5,6.687022900763359,131
15778,787524,The Man Who Knew Infinity (2015),Biography|Drama,2015,The Man Who Knew Infinity,"['Biography', 'Drama']",2,7.4363636363636365,165
15785,790628,The Incredible Burt Wonderstone (2013),Adventure|Comedy|Fantasy,2013,The Incredible Burt Wonderstone,"['Adventure', 'Comedy', 'Fantasy']",3,6.060509554140127,314
15786,790636,Dallas Buyers Club (2013),Biography|Drama,2013,Dallas Buyers Club,"['Biography', 'Drama']",2,8.06424747174301,1681
15794,790724,Jack Reacher (2012),Action|Crime|Thriller,2012,Jack Reacher,"['Action', 'Crime', 'Thriller']",3,7.029481132075472,848
15795,790736,R.I.P.D. (2013),Action|Adventure|Comedy|Fantasy|Sci-Fi,2013,R.I.P.D.,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",5,5.559912854030501,459
15829,795461,Scary Movie 5 (2013),Comedy,2013,Scary Movie 5,['Comedy'],1,3.808080808080808,198
15863,800320,Clash of the Titans (2010),Action|Adventure|Fantasy,2010,Clash of the Titans,"['Action', 'Adventure', 'Fantasy']",3,6.486486486486487,74
15864,800325,The Dirt (2019),Biography|Comedy|Drama|Music,2019,The Dirt,"['Biography', 'Comedy', 'Drama', 'Music']",4,7.037735849056604,53
15867,800369,Thor (2011),Action|Adventure|Fantasy|Sci-Fi,2011,Thor,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",4,7.256457564575646,542
15876,803096,Warcraft (2016),Action|Adventure|Fantasy,2016,Warcraft,"['Action', 'Adventure', 'Fantasy']",3,6.8494208494208495,518
15880,804463,Devil's Knot (2013),Biography|Crime|Drama|Thriller,2013,Devil's Knot,"['Biography', 'Crime', 'Drama', 'Thriller']",4,6.243243243243243,74
15882,804497,It's Kind of a Funny Story (2010),Comedy|Drama|Romance,2010,It's Kind of a Funny Story,"['Comedy', 'Drama', 'Romance']",3,7.463768115942029,138
15948,810819,The Danish Girl (2015),Biography|Drama|Romance,2015,The Danish Girl,"['Biography', 'Drama', 'Romance']",3,7.1181262729124235,491
15978,814255,Percy Jackson &amp; the Olympians: The Lightning Thief (2010),Adventure|Family|Fantasy,2010,Percy Jackson &amp; the Olympians: The Lightning Thief,"['Adventure', 'Family', 'Fantasy']",3,6.3076923076923075,78
15996,816442,The Book Thief (2013),Drama|War,2013,The Book Thief,"['Drama', 'War']",2,7.815834767641997,581
16005,816692,Interstellar (2014),Adventure|Drama|Sci-Fi,2014,Interstellar,"['Adventure', 'Drama', 'Sci-Fi']",3,8.84527027027027,2960
16006,816711,World War Z (2013),Action|Adventure|Horror|Sci-Fi|Thriller,2013,World War Z,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",5,7.30152200740436,2431
16007,817177,Flipped (2010),Comedy|Drama|Romance,2010,Flipped,"['Comedy', 'Drama', 'Romance']",3,7.952941176470588,85
16069,829150,Dracula Untold (2014),Action|Drama|Fantasy|Horror|War,2014,Dracula Untold,"['Action', 'Drama', 'Fantasy', 'Horror', 'War']",5,6.302211302211302,407
16082,831387,Godzilla (2014),Action|Adventure|Sci-Fi|Thriller,2014,Godzilla,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",4,6.660958904109589,1460
16110,837562,Hotel Transylvania (2012),Animation|Comedy|Family|Fantasy|Horror,2012,Hotel Transylvania,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",5,7.226244343891403,221
16111,837563,Pet Sematary (2019),Horror|Mystery|Thriller,2019,Pet Sematary,"['Horror', 'Mystery', 'Thriller']",3,5.776223776223776,143
16129,840361,The Town (2010),Crime|Drama|Thriller,2010,The Town,"['Crime', 'Drama', 'Thriller']",3,7.71875,320
16138,842926,The Kids Are All Right (2010),Comedy|Drama|Romance,2010,The Kids Are All Right,"['Comedy', 'Drama', 'Romance']",3,7.109589041095891,73
16173,848228,The Avengers (2012),Action|Adventure|Sci-Fi,2012,The Avengers,"['Action', 'Adventure', 'Sci-Fi']",3,8.179245283018869,636
16175,848537,Epic (2013),Animation|Adventure|Family|Fantasy|Thriller,2013,Epic,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Thriller']",5,6.763513513513513,296
16204,857190,The Sweeney (2012),Action|Crime|Drama,2012,The Sweeney,"['Action', 'Crime', 'Drama']",3,6.349397590361446,83
16238,864835,Mr. Peabody &amp; Sherman (2014),Animation|Adventure|Comedy|Family|Sci-Fi,2014,Mr. Peabody &amp; Sherman,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",5,7.257142857142857,175
16258,870154,Jungle Cruise (2021),Action|Adventure|Comedy,2021,Jungle Cruise,"['Action', 'Adventure', 'Comedy']",3,6.737373737373737,99
16275,873886,Red State (2011),Action|Crime|Horror|Thriller,2011,Red State,"['Action', 'Crime', 'Horror', 'Thriller']",4,6.574074074074074,54
16294,879870,Eat Pray Love (2010),Drama|Romance,2010,Eat Pray Love,"['Drama', 'Romance']",2,6.663265306122449,98
16312,882977,Snitch (2013),Action|Drama|Thriller,2013,Snitch,"['Action', 'Drama', 'Thriller']",3,6.811764705882353,340
16322,884732,The Wedding Ringer (2015),Comedy,2015,The Wedding Ringer,['Comedy'],1,7.134146341463414,246
16334,889573,The Switch (2010),Comedy|Drama|Romance,2010,The Switch,"['Comedy', 'Drama', 'Romance']",3,6.333333333333333,54
16354,892769,How to Train Your Dragon (2010),Animation|Action|Adventure|Family|Fantasy,2010,How to Train Your Dragon,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",5,8.364016736401673,239
16382,900387,Suite française (2014),Drama|Romance|War,2014,Suite française,"['Drama', 'Romance', 'War']",3,7.159420289855072,69
16398,903624,The Hobbit: An Unexpected Journey (2012),Adventure|Family|Fantasy,2012,The Hobbit: An Unexpected Journey,"['Adventure', 'Family', 'Fantasy']",3,7.888166449934981,769
16400,903657,Love &amp; Mercy (2014),Biography|Drama|Music,2014,Love &amp; Mercy,"['Biography', 'Drama', 'Music']",3,7.6752136752136755,117
16405,905372,The Thing (2011),Horror|Mystery|Sci-Fi,2011,The Thing,"['Horror', 'Mystery', 'Sci-Fi']",3,6.242857142857143,70
16441,914863,Unthinkable (2010),Crime|Drama|Thriller,2010,Unthinkable,"['Crime', 'Drama', 'Thriller']",3,7.263888888888889,72
16446,918940,The Legend of Tarzan (2016),Action|Adventure|Drama|Fantasy|Romance,2016,The Legend of Tarzan,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",5,6.357438016528926,484
16473,926084,Harry Potter and the Deathly Hallows: Part 1 (2010),Adventure|Fantasy|Mystery,2010,Harry Potter and the Deathly Hallows: Part 1,"['Adventure', 'Fantasy', 'Mystery']",3,8.211340206185566,194
16510,938330,Silent Hill: Revelation (2012),Horror,2012,Silent Hill: Revelation,['Horror'],1,5.076923076923077,104
16526,944835,Salt (2010),Action|Mystery|Thriller,2010,Salt,"['Action', 'Mystery', 'Thriller']",3,7.020833333333333,144
16529,945513,Source Code (2011),Action|Drama|Sci-Fi|Thriller,2011,Source Code,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",4,7.8459214501510575,331
16532,947798,Black Swan (2010),Drama|Thriller,2010,Black Swan,"['Drama', 'Thriller']",2,8.23820754716981,424
16534,947810,Green Zone (2010),Action|Drama|Thriller|War,2010,Green Zone,"['Action', 'Drama', 'Thriller', 'War']",4,6.711864406779661,59
16535,948470,The Amazing Spider-Man (2012),Action|Adventure|Sci-Fi,2012,The Amazing Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",3,7.3040201005025125,398
16559,955308,Robin Hood (2010),Action|Adventure|Drama|History|Romance,2010,Robin Hood,"['Action', 'Adventure', 'Drama', 'History', 'Romance']",5,7.129411764705883,85
16599,964517,The Fighter (2010),Biography|Drama|Sport,2010,The Fighter,"['Biography', 'Drama', 'Sport']",3,7.931972789115647,294
16613,970179,Hugo (2011),Adventure|Drama|Family|Fantasy|Mystery|Romance,2011,Hugo,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery', 'Romance']",6,7.834042553191489,235
16634,974015,Justice League (2017),Action|Adventure|Fantasy|Sci-Fi,2017,Justice League,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",4,6.776923076923077,780
16640,975645,Hitchcock (2012),Biography|Comedy|Drama|Romance,2012,Hitchcock,"['Biography', 'Comedy', 'Drama', 'Romance']",4,7.207357859531773,299
16660,978764,Sucker Punch (2011),Action|Adventure|Fantasy,2011,Sucker Punch,"['Action', 'Adventure', 'Fantasy']",3,6.104651162790698,86
16672,983193,The Adventures of Tintin (2011),Animation|Action|Adventure|Family|Mystery,2011,The Adventures of Tintin,"['Animation', 'Action', 'Adventure', 'Family', 'Mystery']",5,7.649122807017544,114
16674,983946,Fantasy Island (2020),Adventure|Horror,2020,Fantasy Island,"['Adventure', 'Horror']",2,4.807017543859649,114
16687,985694,Machete (2010),Action|Crime|Thriller,2010,Machete,"['Action', 'Crime', 'Thriller']",3,6.705882352941177,85
16708,989757,Dear John (2010),Drama|Romance|War,2010,Dear John,"['Drama', 'Romance', 'War']",3,6.619718309859155,71
16712,990407,The Green Hornet (2011),Action|Comedy|Crime|Sci-Fi|Thriller,2011,The Green Hornet,"['Action', 'Comedy', 'Crime', 'Sci-Fi', 'Thriller']",5,5.461538461538462,65
16722,993840,Army of the Dead (2021),Action|Crime|Horror|Sci-Fi|Thriller,2021,Army of the Dead,"['Action', 'Crime', 'Horror', 'Sci-Fi', 'Thriller']",5,5.76595744680851,141
16723,993842,Hanna (2011),Action|Drama|Thriller,2011,Hanna,"['Action', 'Drama', 'Thriller']",3,6.850877192982456,114
16724,993846,The Wolf of Wall Street (2013),Biography|Crime|Drama,2013,The Wolf of Wall Street,"['Biography', 'Crime', 'Drama']",3,8.391549295774649,2840
16738,995868,Pelé: Birth of a Legend (2016),Biography|Drama|Sport,2016,Pelé: Birth of a Legend,"['Biography', 'Drama', 'Sport']",3,7.88,50
16750,997152,The Experiment (2010),Drama|Thriller,2010,The Experiment,"['Drama', 'Thriller']",2,6.5,62
16765,1001526,Megamind (2010),Animation|Action|Comedy|Family|Sci-Fi,2010,Megamind,"['Animation', 'Action', 'Comedy', 'Family', 'Sci-Fi']",5,7.352941176470588,85
16785,1007029,The Iron Lady (2011),Biography|Drama,2011,The Iron Lady,"['Biography', 'Drama']",2,6.86,100
16798,1013743,Knight and Day (2010),Action|Adventure|Comedy|Romance|Thriller,2010,Knight and Day,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",5,6.567901234567901,81
16805,1014759,Alice in Wonderland (2010),Adventure|Family|Fantasy,2010,Alice in Wonderland,"['Adventure', 'Family', 'Fantasy']",3,6.7889908256880735,109
16807,1014763,Child 44 (2015),Crime|Drama|History|Thriller,2015,Child 44,"['Crime', 'Drama', 'History', 'Thriller']",4,6.604166666666667,192
16828,1018765,Our Brand Is Crisis (2015),Comedy|Drama,2015,Our Brand Is Crisis,"['Comedy', 'Drama']",2,6.216867469879518,83
16837,1020072,Selma (2014),Biography|Drama|History,2014,Selma,"['Biography', 'Drama', 'History']",3,7.739376770538244,353
16855,1023114,The Way Back (2010),Adventure|Drama|History,2010,The Way Back,"['Adventure', 'Drama', 'History']",3,7.5576923076923075,156
16863,1024648,Argo (2012),Biography|Drama|Thriller,2012,Argo,"['Biography', 'Drama', 'Thriller']",3,8.055837563451776,1182
16872,1025100,Gemini Man (2019),Action|Drama|Sci-Fi|Thriller,2019,Gemini Man,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",4,5.0369127516778525,298
16876,1027718,Wall Street: Money Never Sleeps (2010),Drama,2010,Wall Street: Money Never Sleeps,['Drama'],1,6.377358490566038,53
16892,1029360,Poltergeist (2015),Horror|Thriller,2015,Poltergeist,"['Horror', 'Thriller']",2,5.115606936416185,173
16909,1033575,The Descendants (2011),Comedy|Drama,2011,The Descendants,"['Comedy', 'Drama']",2,7.612903225806452,186
16919,1034314,Iron Sky (2012),Action|Comedy|Sci-Fi,2012,Iron Sky,"['Action', 'Comedy', 'Sci-Fi']",3,5.462962962962963,54
16926,1034415,Suspiria (2018),Fantasy|Horror|Mystery|Thriller,2018,Suspiria,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",4,6.841463414634147,82
16939,1037705,The Book of Eli (2010),Action|Adventure|Drama|Thriller,2010,The Book of Eli,"['Action', 'Adventure', 'Drama', 'Thriller']",4,6.920289855072464,138
16950,1038919,The Bounty Hunter (2010),Action|Comedy|Romance,2010,The Bounty Hunter,"['Action', 'Comedy', 'Romance']",3,6.293103448275862,58
16969,1043726,The Legend of Hercules (2014),Action|Adventure|Fantasy,2014,The Legend of Hercules,"['Action', 'Adventure', 'Fantasy']",3,4.5046728971962615,214
16976,1045658,Silver Linings Playbook (2012),Comedy|Drama|Romance,2012,Silver Linings Playbook,"['Comedy', 'Drama', 'Romance']",3,8.132506527415144,1532
16996,1047540,Parental Guidance (2012),Comedy|Family,2012,Parental Guidance,"['Comedy', 'Family']",2,6.914634146341464,82
17014,1051904,Goosebumps (2015),Adventure|Comedy|Family|Fantasy|Horror,2015,Goosebumps,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",5,6.601010101010101,198
17015,1051906,The Invisible Man (2020),Horror|Sci-Fi|Thriller,2020,The Invisible Man,"['Horror', 'Sci-Fi', 'Thriller']",3,7.172839506172839,486
17032,1055292,Life as We Know It (2010),Comedy|Drama|Romance,2010,Life as We Know It,"['Comedy', 'Drama', 'Romance']",3,6.890410958904109,73
17069,1065073,Boyhood (2014),Drama,2014,Boyhood,['Drama'],1,8.093128390596744,1106
17075,1067583,Water for Elephants (2011),Drama|Romance,2011,Water for Elephants,"['Drama', 'Romance']",2,7.11864406779661,59
17096,1070874,The Trial of the Chicago 7 (2020),Drama|History|Thriller,2020,The Trial of the Chicago 7,"['Drama', 'History', 'Thriller']",3,7.909090909090909,132
17102,1071875,Ghost Rider: Spirit of Vengeance (2011),Action|Fantasy|Thriller,2011,Ghost Rider: Spirit of Vengeance,"['Action', 'Fantasy', 'Thriller']",3,4.148148148148148,54
17105,1072748,Winchester (2018),Biography|Drama|Fantasy|Horror|Mystery|Thriller,2018,Winchester,"['Biography', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",6,5.553846153846154,65
17116,1074638,Skyfall (2012),Action|Adventure|Thriller,2012,Skyfall,"['Action', 'Adventure', 'Thriller']",3,7.724609375,512
17129,1077368,Dark Shadows (2012),Comedy|Fantasy|Horror,2012,Dark Shadows,"['Comedy', 'Fantasy', 'Horror']",3,6.419689119170984,193
17153,1082807,The Belko Experiment (2016),Horror|Thriller,2016,The Belko Experiment,"['Horror', 'Thriller']",2,6.075862068965518,145
17157,1083452,Eddie the Eagle (2015),Biography|Comedy|Drama|Sport,2015,Eddie the Eagle,"['Biography', 'Comedy', 'Drama', 'Sport']",4,7.672597864768683,281
17165,1085492,The Prince (2014),Action|Thriller,2014,The Prince,"['Action', 'Thriller']",2,4.813559322033898,59
17175,1086772,Blended (2014),Comedy|Romance,2014,Blended,"['Comedy', 'Romance']",2,6.831428571428572,350
17191,1091191,Lone Survivor (2013),Action|Biography|Drama|War,2013,Lone Survivor,"['Action', 'Biography', 'Drama', 'War']",4,7.8799621928166355,1058
17203,1092026,Paul (2011),Adventure|Comedy|Sci-Fi,2011,Paul,"['Adventure', 'Comedy', 'Sci-Fi']",3,7.179856115107913,139
17248,1100089,Foxcatcher (2014),Biography|Drama|Sport,2014,Foxcatcher,"['Biography', 'Drama', 'Sport']",3,7.102150537634409,558
17258,1104001,Tron (2010),Action|Adventure|Fantasy|Sci-Fi,2010,Tron,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",4,7.261682242990654,107
17282,1109624,Paddington (2014),Adventure|Comedy|Family|Fantasy,2014,Paddington,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4,7.363636363636363,264
17317,1120985,Blue Valentine (2010),Drama|Romance,2010,Blue Valentine,"['Drama', 'Romance']",2,7.493212669683258,221
17318,1121096,Seventh Son (2014),Action|Adventure|Fantasy,2014,Seventh Son,"['Action', 'Adventure', 'Fantasy']",3,5.410256410256411,156
17327,1124035,The Ides of March (2011),Drama|Thriller,2011,The Ides of March,"['Drama', 'Thriller']",2,7.218390804597701,174
17328,1124037,Free State of Jones (2016),Action|Biography|Drama|History|War,2016,Free State of Jones,"['Action', 'Biography', 'Drama', 'History', 'War']",5,7.20979020979021,143
17341,1126590,Big Eyes (2014),Biography|Crime|Drama|Romance,2014,Big Eyes,"['Biography', 'Crime', 'Drama', 'Romance']",4,7.463343108504398,341
17344,1126618,Morning Glory (2010),Comedy|Drama|Romance,2010,Morning Glory,"['Comedy', 'Drama', 'Romance']",3,6.803921568627451,51
17368,1130884,Shutter Island (2010),Mystery|Thriller,2010,Shutter Island,"['Mystery', 'Thriller']",2,8.579651941097724,747
17377,1131724,2:22 (2017),Thriller,2017,2:22,['Thriller'],1,6.365079365079365,63
17393,1133985,Green Lantern (2011),Action|Adventure|Sci-Fi,2011,Green Lantern,"['Action', 'Adventure', 'Sci-Fi']",3,5.837606837606837,117
17403,1135084,Takers (2010),Action|Crime|Thriller,2010,Takers,"['Action', 'Crime', 'Thriller']",3,6.6461538461538465,65
17421,1137450,Death Wish (2018),Action|Crime|Drama|Thriller,2018,Death Wish,"['Action', 'Crime', 'Drama', 'Thriller']",4,6.520325203252033,123
17431,1139328,The Ghost Writer (2010),Drama|Mystery|Thriller,2010,The Ghost Writer,"['Drama', 'Mystery', 'Thriller']",3,7.408450704225352,71
17445,1142977,Frankenweenie (2012),Animation|Comedy|Family|Horror|Sci-Fi,2012,Frankenweenie,"['Animation', 'Comedy', 'Family', 'Horror', 'Sci-Fi']",5,7.292929292929293,99
17504,1155076,The Karate Kid (2010),Action|Drama|Family|Romance|Sport,2010,The Karate Kid,"['Action', 'Drama', 'Family', 'Romance', 'Sport']",5,6.779220779220779,77
17543,1160996,The Colony (2013),Action|Horror|Sci-Fi|Thriller,2013,The Colony,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",4,5.601351351351352,148
17551,1164999,Biutiful (2010),Drama|Romance,2010,Biutiful,"['Drama', 'Romance']",2,7.671052631578948,76
17564,1170358,The Hobbit: The Desolation of Smaug (2013),Adventure|Fantasy,2013,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",2,8.14641375222288,1687
17571,1172049,Demolition (2015),Comedy|Drama,2015,Demolition,"['Comedy', 'Drama']",2,7.209595959595959,396
17596,1175709,All Good Things (2010),Crime|Drama|Mystery|Romance|Thriller,2010,All Good Things,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",5,6.540816326530612,98
17617,1178665,A Walk in the Woods (2015),Adventure|Biography|Comedy|Drama,2015,A Walk in the Woods,"['Adventure', 'Biography', 'Comedy', 'Drama']",4,6.2407407407407405,54
